Instrument	Old Instrument Name	New Instrument Name	Descriptor	CEDA Instrument Record URL	Manufacturer	Model No.	Scientist	Data Product(s)	Domains
Doppler lidar		ncas-lidar-dop-1	NCAS Doppler Aerosol Lidar unit 1	http://catalogue.ceda.ac.uk/uuid/d35f8ddefa8442d9b63883f05aa40057	HALO Photonics	StreamLine	Phil Rosenberg	mean-winds-profile, |aerosol-backscatter-radial-winds, |depolarisation-ratio	land, air, sea
Micro Rain Radar		ncas-mrr-1	NCAS Micro Rain Radar unit 1	NEEDS INVESTIGATION	METEK	MRR-2	Phil Rosenberg	rain-lwc-velocity-reflectivity, |size-concentration-spectra	land, sea
Radio sonde unit2	leeds-radiosonde	ncas-radiosonde-2	NCAS Vaisala Sounding Station unit 2	http://catalogue.ceda.ac.uk/uuid/86569f5888ec4e06a9c8bb000126c0b9	Vaisala	MW41|For older data this can also be MW31 or MW21	Phil Rosenberg	sonde	land, sea
Rapid sonde unit2		ncas-rapidsonde-2	NCAS Windsond Sounding Station unit 2	NEEDS INVESTIGATION	Windsond	Not appicable	Phil Rosenberg	sonde	land, sea
HATPRO Radiometer	salford-radiometer-1	ncas-scanning-radiometer-1	NCAS Scanning Microwave Radiometer unit 1	http://catalogue.ceda.ac.uk/uuid/bf38bcb7cfac483bb2374b48b3809c57	RPG	HATPRO	Phil Rosenberg	boundary-layer-temperature-profiles, |brightness-temperature, |boundary-layer-height|full-troposphere-temperature-profiles, |iwv-lwp, |moisture-profile, |stability-indices, |surface-met	land, sea
HATPRO Radiometer 2		ncas-scanning-radiometer-2	NCAS Scanning Microwave Radiometer unit 2		RPG	HTPRO G5	Phil Rosenberg	boundary-layer-temperature-profiles, |brightness-temperature, |boundary-layer-height|full-troposphere-temperature-profiles, |iwv-lwp, |moisture-profile, |stability-indices, |surface-met	land, sea
sodar -1	leeds-sodar-unit1	ncas-sodar-1	NCAS Sodar unit 1	NEEDS INVESTIGATION	Scintec	MFAS	Barbara Brooks	acoustic-backscatter-winds	land
sodar -2	leeds-sodar-unit2	ncas-sodar-2	NCAS Sodar unit 2	NEEDS INVESTIGATION	Scintec	MFAS	Barbara Brooks	acoustic-backscatter-winds	land
sodar -3	leeds-sodar-unit3	ncas-sodar-3	NCAS Sodar unit 3	NEEDS INVESTIGATION	Scintec	MFAS	Barbara Brooks	acoustic-backscatter-winds	land
sonic 1		ncas-sonic-1	NCAS Sonic Anemometer unit 1	NEEDS INVESTIGATION	METEK	uSonic-3	Phil Rosenberg	mean-winds	land, sea
sonic 2		ncas-sonic-2	NCAS Sonic Anemometer unit 2	NEEDS INVESTIGATION	METEK	uSonic-3	Phil Rosenberg	mean-winds	land, sea
lidar windprofiler 1		ncas-lidar-wind-profiler-1	NCAS Lidar Wind Profiler unit 1		Wood	Galion 4000	Phil Rosenberg	mean-winds-profile	land, sea
